ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
213,usuario,0x510,1,00,00,00,-,0,0,-,0x0,2,22,5,21,2,0,0,20,20,20,5,20,0
214,usuario,0x514,1,00,00,00,-,0,0,-,0x0,4,22,5,21,1,0,1,20,20,20,5,20,0
215,usuario,0x518,1,00,00,00,-,0,0,-,0x0,3,22,4,21,1,0,1,20,20,20,5,20,0
216,usuario,0x51C,1,01,00,00,-,0,0,-,0x0,2,22,4,0,0,0,1,20,20,20,5,20,1
217,kernel,0x520,0,00,00,01,Teclado,1,1,Teclado,0x22,4,22,3,23,4,1,0,21,21,20,5,20,1
218,kernel,0x520,0,00,00,01,Teclado,1,2,Teclado,0x22,3,22,3,23,3,1,0,21,21,20,5,20,1
219,kernel,0x520,0,00,00,01,Teclado,1,3,Teclado,0x22,2,22,2,23,3,1,0,21,21,20,5,20,1
220,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,22,2,23,2,1,0,21,21,20,5,20,1
221,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,22,1,23,2,1,0,21,21,20,5,20,1
222,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,22,1,23,1,1,0,21,21,21,5,21,0
223,usuario,0x520,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,23,1,1,0,21,21,21,5,21,1
224,usuario,0x520,1,11,00,00,-,0,0,-,0x0,0,24,6,0,0,0,0,21,21,21,5,21,2
225,kernel,0x524,0,01,00,10,Disco,1,1,Disco,0x21,0,24,5,0,0,0,0,22,22,21,5,21,2
226,kernel,0x524,0,01,00,10,Disco,1,2,Disco,0x21,0,24,5,0,0,0,0,22,22,21,5,21,2
227,kernel,0x524,0,01,00,10,Disco,1,3,Disco,0x21,0,24,4,0,0,0,0,22,22,21,5,21,2
228,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,24,4,0,0,0,0,22,22,21,5,21,2
229,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,24,3,0,0,0,0,22,22,21,5,21,2
230,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,24,3,0,0,0,0,22,22,22,5,22,1
231,usuario,0x524,1,01,00,00,-,1,7,Disco,0x21,0,24,2,0,0,0,0,22,22,22,5,22,1
232,usuario,0x524,1,01,00,00,-,0,0,-,0x0,0,24,2,0,0,0,0,22,22,22,5,22,1
233,kernel,0x528,0,00,00,01,Teclado,1,1,Teclado,0x22,0,24,1,0,0,0,0,23,23,22,5,22,1
234,kernel,0x528,0,00,00,01,Teclado,1,2,Teclado,0x22,0,24,1,0,0,0,0,23,23,22,5,22,1
235,kernel,0x528,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,23,23,22,5,22,2
236,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,23,23,22,5,22,2
237,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,24,24,22,6,22,2
238,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,24,24,22,6,22,2
239,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,24,24,22,6,22,2
240,kernel,0x2100,1,00,00,11,Disco,1,4,Disco,0x21,0,0,0,0,0,0,0,24,24,22,6,22,2
241,kernel,0x2100,1,00,00,11,Disco,1,5,Disco,0x21,0,0,0,0,0,0,0,24,24,22,6,22,2
242,kernel,0x2100,1,00,00,01,Teclado,1,6,Disco,0x21,0,0,0,0,0,0,0,24,24,23,6,23,1
243,kernel,0x2200,1,00,00,01,Teclado,1,7,Disco,0x21,0,0,0,0,0,0,0,24,24,23,6,23,1
244,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,24,24,23,6,23,1
245,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,0,0,0,0,0,0,24,24,23,6,23,1
246,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,0,0,0,0,0,0,24,24,24,6,24,0
247,usuario,0x528,1,00,00,00,-,1,7,Teclado,0x22,0,0,0,0,0,0,0,24,24,24,6,24,0
248,usuario,0x528,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,24,24,24,6,24,0
249,usuario,0x52C,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,24,24,24,6,24,0
250,usuario,0x530,1,00,00,00,-,0,0,-,0x0,3,0,0,25,4,0,0,24,24,24,6,24,0
251,usuario,0x534,1,00,00,00,-,0,0,-,0x0,2,0,0,25,3,0,0,24,24,24,6,24,0
252,usuario,0x538,1,00,00,00,-,0,0,-,0x0,4,0,0,25,3,1,0,24,24,24,6,24,0
253,usuario,0x53C,1,00,00,00,-,0,0,-,0x0,3,26,6,25,2,0,0,24,24,24,6,24,0
254,usuario,0x540,1,00,00,00,-,0,0,-,0x0,2,26,5,25,2,0,0,24,24,24,6,24,0
255,usuario,0x544,1,00,00,00,-,0,0,-,0x0,4,26,5,25,1,0,1,24,24,24,6,24,0
256,usuario,0x548,1,00,00,00,-,0,0,-,0x0,3,26,4,25,1,0,1,24,24,24,6,24,0
257,usuario,0x54C,1,01,00,00,-,0,0,-,0x0,2,26,4,0,0,0,1,24,24,24,6,24,1
258,kernel,0x550,0,00,00,01,Teclado,1,1,Teclado,0x22,4,26,3,27,4,1,0,25,25,24,6,24,1
259,kernel,0x550,0,00,00,01,Teclado,1,2,Teclado,0x22,3,26,3,27,3,1,0,25,25,24,6,24,1
260,kernel,0x550,0,00,00,01,Teclado,1,3,Teclado,0x22,2,26,2,27,3,1,0,25,25,24,6,24,1
261,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,26,2,27,2,1,0,25,25,24,6,24,1
262,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,26,1,27,2,1,0,25,25,24,6,24,1
263,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,26,1,27,1,1,0,25,25,25,6,25,0
264,usuario,0x550,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,27,1,1,0,25,25,25,6,25,1
265,usuario,0x550,1,11,00,00,-,0,0,-,0x0,0,28,6,0,0,0,0,25,25,25,6,25,2
266,kernel,0x554,0,01,00,10,Disco,1,1,Disco,0x21,0,28,5,0,0,0,0,26,26,25,6,25,2
267,kernel,0x554,0,01,00,10,Disco,1,2,Disco,0x21,0,28,5,0,0,0,0,26,26,25,6,25,2
268,kernel,0x554,0,01,00,10,Disco,1,3,Disco,0x21,0,28,4,0,0,0,0,26,26,25,6,25,2
269,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,28,4,0,0,0,0,26,26,25,6,25,2
270,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,28,3,0,0,0,0,26,26,25,6,25,2
271,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,28,3,0,0,0,0,26,26,26,6,26,1
272,usuario,0x554,1,01,00,00,-,1,7,Disco,0x21,0,28,2,0,0,0,0,26,26,26,6,26,1
273,usuario,0x554,1,01,00,00,-,0,0,-,0x0,0,28,2,0,0,0,0,26,26,26,6,26,1
274,kernel,0x558,0,00,00,01,Teclado,1,1,Teclado,0x22,0,28,1,0,0,0,0,27,27,26,6,26,1
275,kernel,0x558,0,00,00,01,Teclado,1,2,Teclado,0x22,0,28,1,0,0,0,0,27,27,26,6,26,1
276,kernel,0x558,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,27,27,26,6,26,2
277,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,27,27,26,6,26,2
278,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,28,28,26,7,26,2
279,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,28,28,26,7,26,2
280,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,28,28,26,7,26,2
281,kernel,0x2100,1,00,00,11,Disco,1,4,Disco,0x21,0,0,0,0,0,0,0,28,28,26,7,26,2
282,kernel,0x2100,1,00,00,11,Disco,1,5,Disco,0x21,0,0,0,0,0,0,0,28,28,26,7,26,2
283,kernel,0x2100,1,00,00,01,Teclado,1,6,Disco,0x21,0,0,0,0,0,0,0,28,28,27,7,27,1
284,kernel,0x2200,1,00,00,01,Teclado,1,7,Disco,0x21,0,0,0,0,0,0,0,28,28,27,7,27,1
285,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,28,28,27,7,27,1
